product_id,product_name,brand,package_quantity,package_unit,product_category,from_date,to_date,percentage_of_discount
P001,lapte zuzu,Zuzu,1,l,lactate,5/1/2025,5/7/2025,8
P010,branza telemea,Proxi,0.3,kg,lactate,5/1/2025,5/7/2025,12
P019,piept pui,Avicola,1,kg,carne,5/2/2025,5/8/2025,10
P024,apa plata,Aqua Carpatica,2,l,bauturi,5/3/2025,5/9/2025,5
P036,cafea macinata,Tchibo,0.25,kg,cafea,5/4/2025,5/10/2025,15
P039,detergent lichid,Dero,2.5,l,produse de menaj,5/1/2025,5/7/2025,20
P042,sampon par gras,Schauma,400,ml,ingrijire personala,5/2/2025,5/8/2025,10
P054,ciocolata neagra 70%,Poiana,100,g,gustari,5/3/2025,5/9/2025,10
P007,oua marimea M,Din Ograd?,10,buc,oua,5/4/2025,5/10/2025,6
P027,banane,Generic,1,kg,legume si fructe,5/1/2025,5/7/2025,7
